City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,Riyadh,24.6877,46.7219,95.14,13,0,13.94,SA,2022-04-30 14:40:42
257,Corleone,37.8134,13.3017,65.89,52,58,4.29,IT,2022-04-30 14:43:47
258,Porto Nacional,-10.7081,-48.4172,87.8,51,100,6.42,BR,2022-04-30 14:43:48
259,Karpogory,64.0019,44.4451,33.55,72,100,6.31,RU,2022-04-30 14:43:48
260,Buchanan,5.8808,-10.0467,85.1,71,75,7.25,LR,2022-04-30 14:43:49
261,Hamilton,39.1834,-84.5333,63.1,80,40,13.8,US,2022-04-30 14:41:03
262,Bredasdorp,-34.5322,20.0403,65.86,52,16,11.72,ZA,2022-04-30 14:43:49
263,Lukovetskiy,64.2956,41.9211,34.38,70,99,6.08,RU,2022-04-30 14:43:50
264,Ilulissat,69.2167,-51.1,21.22,53,20,10.36,GL,2022-04-30 14:43:50
265,Kilemary,56.7783,46.8659,42.1,59,100,8.21,RU,2022-04-30 14:43:50
266,Oxelosund,58.6706,17.1015,52.18,54,75,8.05,SE,2022-04-30 14:43:51
267,Port Macquarie,-31.4333,152.9167,61.9,83,100,8.9,AU,2022-04-30 14:43:51
268,San Rafael,-34.6177,-68.3301,61.56,30,0,0.56,AR,2022-04-30 14:43:52
269,Evensk,61.95,159.2333,30.16,72,28,9.26,RU,2022-04-30 14:43:52
270,Sao Francisco,-15.9486,-44.8644,90.79,29,7,4.43,BR,2022-04-30 14:43:52
271,Port Moresby,-9.4431,147.1797,74.62,100,40,3.44,PG,2022-04-30 14:41:21
272,Keflavik,64.0049,-22.5624,45.03,81,100,11.5,IS,2022-04-30 14:43:53
273,Salalah,17.0151,54.0924,87.89,79,40,11.5,OM,2022-04-30 14:39:44
274,Sayyan,15.1718,44.3244,67.39,41,84,8.32,YE,2022-04-30 14:44:55
275,Seybaplaya,19.65,-90.6667,84.11,62,45,8.72,MX,2022-04-30 14:44:56
